"iteration","source_iteration","source_fit","tissue","pi_add","pi_rec","pi_dom","pip_add","pip_rec","pip_dom","pip_total","n_fits","n_active_fits","n_nonconverged","prior_status","update_method","alpha_add","alpha_rec","alpha_dom","alpha_total","n_components","n_active_components","n_zero_variance_components","mstep_q_gain","source_elbo_sum","n_source_elbo","max_abs_prior_change","n_source_files","n_source_gene_errors","n_source_tissue_errors","created_at"
1,0,"susie_mix","Liver",0.593604644431832,0.0787249049845143,0.327670450583653,784.148670292625,103.995135328751,432.851060136579,1320.99486575795,17463,1303,0,"estimated","susie_active_component_alpha_v2",784.15173529445,103.995599484543,432.852665221005,1321,174630,1321,173309,295.009366141554,-3392746.21628613,17463,0.260271311098499,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Lung",0.609907127780858,0.0841608460422359,0.305932026176906,1633.93259821742,225.465822533472,819.586431465191,2678.98485221608,17530,2503,0,"estimated","susie_active_component_alpha_v2",1633.94119532492,225.46690654715,819.591898127932,2679,175300,2679,172621,606.527709970861,-7889520.95385101,17530,0.276573794447524,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Muscle",0.633052706758963,0.0815486962114994,0.285398597029538,2305.57142849156,296.999953833887,1039.41736644964,3641.98874877508,17538,3315,0,"estimated","susie_active_component_alpha_v2",2305.57795801614,297.000351602281,1039.42169038158,3642,175380,3642,171738,899.286231949498,-11581047.4777344,17538,0.299719373425629,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Nerve",0.648318537512664,0.0719944160532572,0.279687046434079,2914.17281887378,323.61174502076,1257.17781362295,4494.96237751749,17543,4092,0,"estimated","susie_active_component_alpha_v2",2914.19182611942,323.614900159391,1257.19327372118,4495,175430,4495,170935,1222.07521537086,-8617716.16553538,17543,0.31498520417933,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Ovary",0.596537410704537,0.0933292238250263,0.310133365470436,610.854272616634,95.5691243618154,317.57653371676,1023.99993069521,17457,1018,0,"estimated","susie_active_component_alpha_v2",610.854308561446,95.5691251968269,317.576566241727,1024,174570,1024,173546,210.945996217484,-2520185.21218775,17457,0.263204077371204,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Pancreas",0.609034968470217,0.091364451325656,0.299600580204127,1198.57826662277,179.804460664654,589.612464947081,1967.9951922345,17477,1893,0,"estimated","susie_active_component_alpha_v2",1198.58081794938,179.805240208891,589.613941841722,1968,174770,1968,172802,426.796784156364,-4372693.23281001,17477,0.275701635136883,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Pituitary",0.623619668772566,0.0652314353318948,0.311148895895539,1355.12288056358,141.745510250247,676.123618997193,2172.99200981102,17513,2078,0,"estimated","susie_active_component_alpha_v2",1355.12554024278,141.747908976207,676.126550781005,2173,175130,2173,172957,571.062301352574,-4903657.75656581,17513,0.290286335439233,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Prostate",0.599973684212407,0.0923786759250288,0.307647639862564,777.564038953739,119.722114282556,398.709274037643,1295.99542727394,17490,1269,0,"estimated","susie_active_component_alpha_v2",777.565894739279,119.722763998837,398.711341261883,1296,174900,1296,173604,271.403082874213,-3427339.09216839,17490,0.266640350879074,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Salivary Gland",0.598944020719982,0.0653717232573258,0.335684256022693,606.729635842712,66.2214573739405,340.047607604173,1012.99870082082,17506,994,0,"estimated","susie_active_component_alpha_v2",606.730292989341,66.221555659671,340.048151350987,1013,175060,1013,174047,250.070636727377,-2705682.84505147,17506,0.267961610076007,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Skin",0.589705621266755,0.10309558483082,0.307198793902425,2019.14604218587,352.998523221692,1051.84478922604,3423.98935463361,17551,3165,0,"estimated","susie_active_component_alpha_v2",2019.15204721737,352.999282460726,1051.8486703219,3424,175510,3424,172086,651.765702369059,-12755413.7005463,17551,0.256372287933422,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Small Intestine",0.582154225914855,0.0889884758373503,0.328857298247795,504.143222268302,77.0637350013559,284.787635961889,865.994593231547,17491,855,0,"estimated","susie_active_component_alpha_v2",504.145559642264,77.0640200751454,284.790420282591,866,174910,866,174044,175.484108480882,-2807140.70038879,17491,0.248820892581521,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Spleen",0.628571956465738,0.0789583322544825,0.29246971127978,1372.79828233267,172.444699179051,638.752584468738,2183.99556598046,17523,2111,0,"estimated","susie_active_component_alpha_v2",1372.80115292117,172.44499764379,638.75384943504,2184,175230,2184,173046,538.88146285783,-3554065.27016322,17523,0.295238623132404,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Stomach",0.586321780907261,0.0979624456080067,0.315715773484732,840.196681656815,140.379859840599,452.419698241812,1432.99623973923,17494,1391,0,"estimated","susie_active_component_alpha_v2",840.199112040105,140.380184556274,452.420703403622,1433,174940,1433,173507,278.011564669023,-4608157.77994331,17494,0.252988447573928,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Testis",0.645283291963978,0.0697835274926139,0.284933180543408,1884.27175623352,203.698140935733,832.022416029981,2919.99231319923,17555,2779,0,"estimated","susie_active_component_alpha_v2",1884.27565826586,203.69824527678,832.026096457357,2920,175550,2920,172630,795.251189024447,-5173940.17218923,17555,0.311949958630645,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Thyroid",0.662667018768515,0.0739135834578736,0.263419397773611,2956.80688348546,329.800855488037,1175.36516765041,4461.97290662391,17541,4028,0,"estimated","susie_active_component_alpha_v2",2956.82023774512,329.802409389033,1175.37735286586,4462.00000000001,175410,4462,170948,1258.27653198071,-9500171.14982755,17541,0.329333685435182,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Uterus",0.584495722385046,0.0748479325056086,0.340656345109345,400.379234172631,51.2707892583023,233.349384282263,684.999407713197,17413,677,0,"estimated","susie_active_component_alpha_v2",400.379569833757,51.2708337663419,233.349596399901,685,174130,685,173445,153.34427311722,-1852328.82433424,17413,0.258485400827725,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Vagina",0.580315134293076,0.099137441603643,0.320547424103281,309.887598850103,52.9393686638878,171.172023943497,533.998991457488,17469,530,0,"estimated","susie_active_component_alpha_v2",309.888281712503,52.9393938163454,171.172324471152,534,174690,534,174156,100.919607720619,-1982261.76799352,17469,0.246981800959743,18468,878,0,"2026-09-13 09:24:54 UTC"
