Found 18468 result files.
Processed 12700 of 18468 files; 325175 tissue results; 124597 credible sets; 611 original-summary errors; 0 CS-summary errors.
Processed 12800 of 18468 files; 327686 tissue results; 125256 credible sets; 618 original-summary errors; 0 CS-summary errors.
Processed 12900 of 18468 files; 330332 tissue results; 126197 credible sets; 620 original-summary errors; 0 CS-summary errors.
Processed 13000 of 18468 files; 332681 tissue results; 126862 credible sets; 633 original-summary errors; 0 CS-summary errors.
Processed 13100 of 18468 files; 335327 tissue results; 127644 credible sets; 635 original-summary errors; 0 CS-summary errors.
Processed 13200 of 18468 files; 337891 tissue results; 128713 credible sets; 640 original-summary errors; 0 CS-summary errors.
Processed 13300 of 18468 files; 340480 tissue results; 129562 credible sets; 644 original-summary errors; 0 CS-summary errors.
Processed 13400 of 18468 files; 343072 tissue results; 130548 credible sets; 648 original-summary errors; 0 CS-summary errors.
Processed 13500 of 18468 files; 345610 tissue results; 131369 credible sets; 654 original-summary errors; 0 CS-summary errors.
Processed 13600 of 18468 files; 348229 tissue results; 132324 credible sets; 657 original-summary errors; 0 CS-summary errors.
Processed 13700 of 18468 files; 350875 tissue results; 132986 credible sets; 659 original-summary errors; 0 CS-summary errors.
Processed 13800 of 18468 files; 353440 tissue results; 133825 credible sets; 664 original-summary errors; 0 CS-summary errors.
Processed 13900 of 18468 files; 356140 tissue results; 134678 credible sets; 664 original-summary errors; 0 CS-summary errors.
Processed 14000 of 18468 files; 358813 tissue results; 135602 credible sets; 665 original-summary errors; 0 CS-summary errors.
Processed 14100 of 18468 files; 361432 tissue results; 136550 credible sets; 668 original-summary errors; 0 CS-summary errors.
Processed 14200 of 18468 files; 364051 tissue results; 137688 credible sets; 671 original-summary errors; 0 CS-summary errors.
Processed 14300 of 18468 files; 366697 tissue results; 138610 credible sets; 673 original-summary errors; 0 CS-summary errors.
Processed 14400 of 18468 files; 369262 tissue results; 139808 credible sets; 678 original-summary errors; 0 CS-summary errors.
Processed 14500 of 18468 files; 371907 tissue results; 140842 credible sets; 680 original-summary errors; 0 CS-summary errors.
Processed 14600 of 18468 files; 374472 tissue results; 141906 credible sets; 685 original-summary errors; 0 CS-summary errors.
Processed 14700 of 18468 files; 376983 tissue results; 142781 credible sets; 692 original-summary errors; 0 CS-summary errors.
Processed 14800 of 18468 files; 379574 tissue results; 143911 credible sets; 696 original-summary errors; 0 CS-summary errors.
Processed 14900 of 18468 files; 382165 tissue results; 144709 credible sets; 700 original-summary errors; 0 CS-summary errors.
Processed 15100 of 18468 files; 387119 tissue results; 147120 credible sets; 715 original-summary errors; 0 CS-summary errors.
Processed 15200 of 18468 files; 389440 tissue results; 147772 credible sets; 728 original-summary errors; 0 CS-summary errors.
Processed 15300 of 18468 files; 392059 tissue results; 148733 credible sets; 731 original-summary errors; 0 CS-summary errors.
Processed 15400 of 18468 files; 394678 tissue results; 150078 credible sets; 734 original-summary errors; 0 CS-summary errors.
Processed 15500 of 18468 files; 397188 tissue results; 151032 credible sets; 741 original-summary errors; 0 CS-summary errors.
Processed 15600 of 18468 files; 399780 tissue results; 152363 credible sets; 745 original-summary errors; 0 CS-summary errors.
Processed 15700 of 18468 files; 402074 tissue results; 153337 credible sets; 760 original-summary errors; 0 CS-summary errors.
Processed 15900 of 18468 files; 407123 tissue results; 155434 credible sets; 773 original-summary errors; 0 CS-summary errors.
Processed 16000 of 18468 files; 409688 tissue results; 156431 credible sets; 778 original-summary errors; 0 CS-summary errors.
Processed 16100 of 18468 files; 412334 tissue results; 157268 credible sets; 780 original-summary errors; 0 CS-summary errors.
Processed 16200 of 18468 files; 414953 tissue results; 158223 credible sets; 783 original-summary errors; 0 CS-summary errors.
Processed 16300 of 18468 files; 417518 tissue results; 159059 credible sets; 788 original-summary errors; 0 CS-summary errors.
Processed 16400 of 18468 files; 420083 tissue results; 159757 credible sets; 793 original-summary errors; 0 CS-summary errors.
Processed 16500 of 18468 files; 422726 tissue results; 160789 credible sets; 793 original-summary errors; 0 CS-summary errors.
Processed 16600 of 18468 files; 425372 tissue results; 161885 credible sets; 795 original-summary errors; 0 CS-summary errors.
Processed 16700 of 18468 files; 427906 tissue results; 163097 credible sets; 799 original-summary errors; 0 CS-summary errors.
Processed 16800 of 18468 files; 430282 tissue results; 164205 credible sets; 811 original-summary errors; 0 CS-summary errors.
Processed 16900 of 18468 files; 432982 tissue results; 165368 credible sets; 811 original-summary errors; 0 CS-summary errors.
Processed 17000 of 18468 files; 435601 tissue results; 166272 credible sets; 814 original-summary errors; 0 CS-summary errors.
Processed 17100 of 18468 files; 438231 tissue results; 167093 credible sets; 816 original-summary errors; 0 CS-summary errors.
Processed 17400 of 18468 files; 445170 tissue results; 169871 credible sets; 851 original-summary errors; 0 CS-summary errors.
Processed 17500 of 18468 files; 447735 tissue results; 171185 credible sets; 856 original-summary errors; 0 CS-summary errors.
Processed 17600 of 18468 files; 450192 tissue results; 172218 credible sets; 865 original-summary errors; 0 CS-summary errors.
Processed 17700 of 18468 files; 452730 tissue results; 173269 credible sets; 871 original-summary errors; 0 CS-summary errors.
Processed 17800 of 18468 files; 455214 tissue results; 173923 credible sets; 879 original-summary errors; 0 CS-summary errors.
Processed 17900 of 18468 files; 457725 tissue results; 174763 credible sets; 886 original-summary errors; 0 CS-summary errors.
Processed 18000 of 18468 files; 460317 tissue results; 176288 credible sets; 890 original-summary errors; 0 CS-summary errors.
Processed 18200 of 18468 files; 465636 tissue results; 178789 credible sets; 893 original-summary errors; 0 CS-summary errors.
Processed 18300 of 18468 files; 468280 tissue results; 179800 credible sets; 895 original-summary errors; 0 CS-summary errors.
Processed 18400 of 18468 files; 470897 tissue results; 181166 credible sets; 898 original-summary errors; 0 CS-summary errors.
Processed 18468 of 18468 files; 472651 tissue results; 182028 credible sets; 901 original-summary errors; 0 CS-summary errors.

Summary complete.
Successful genes: 17567 
Successful gene-tissue analyses: 472651 
Credible-set summary rows: 182028 
Gene-tissue analyses with weighted_fit_mix: 472651 
Gene-tissue analyses missing weighted_fit_mix: 0 
Weighted fits with zero credible sets: 415051 
Weighted credible-set summary rows: 61246 
CS rows with a TSS distance: 182028 
Files or tissues with errors: 901 
CS-summary errors: 0 
Genes to inspect or rerun: 901 
Saved: /project2/mstephens/wdenault/susie_mix/res_summary.RData 
Saved: /project2/mstephens/wdenault/susie_mix/res_summary.csv 
Saved: /project2/mstephens/wdenault/susie_mix/res_cs_summary.RData 
Saved: /project2/mstephens/wdenault/susie_mix/res_cs_summary.csv 
Saved: /project2/mstephens/wdenault/susie_mix/res_cs_errors.csv 
Saved: /project2/mstephens/wdenault/susie_mix/res_errors.csv 
Saved: /project2/mstephens/wdenault/susie_mix/failed_genes.txt 
