"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.2,2,"recessive",1,0.629279367680182,-0.370720632319818,0.603254233207145,0.660944829103818,1015.17655161343,400,400,1
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.2,2,"dominant",0,0.185512576054573,0.185512576054573,0.169501435624549,0.19797850180695,299.275690436621,400,400,1
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.2,2,"additive",0.5,0.431401692518062,-0.0685983074819376,0.420602371403892,0.441835725766383,647.699601893419,399,399,0
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.2,2,"recessive",0,0.142279896818129,0.142279896818129,0.129770114826637,0.153817747958277,213.616761651162,399,399,0
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.2,2,"dominant",0.5,0.426318410663808,-0.0736815893361915,0.415855043757867,0.437818710196203,640.067643812554,399,399,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.2,2,"additive",0.5,0.398110793455255,-0.101889206544745,0.39172293596219,0.405282528432359,621.177528281472,400,400,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.2,2,"recessive",0.5,0.393942885770281,-0.106057114229719,0.386206322133879,0.402953488680214,614.67428688129,400,400,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.2,2,"dominant",0,0.207946320774464,0.207946320774464,0.193592479690288,0.22062517863637,324.461390340138,400,400,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.2,2,"additive",1,0.60935468674071,-0.39064531325929,0.587786375910826,0.63182905661169,911.213413166282,399,399,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.2,2,"recessive",0,0.14117995800057,0.14117995800057,0.129032506354877,0.152909600788132,211.116898252581,399,399,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.2,2,"dominant",0,0.24946535525872,0.24946535525872,0.237058489342537,0.260598977870675,373.04411171086,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.3,2,"additive",0,0.222925291651334,0.222925291651334,0.207288305967172,0.235983308371748,338.484161571611,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.3,2,"recessive",0,0.144864147351861,0.144864147351861,0.131909456693437,0.156447679127921,219.958081449426,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.3,2,"dominant",1,0.632210560996805,-0.367789439003195,0.609164996021034,0.658738432994357,959.932630750652,399,399,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.3,2,"additive",0,0.189506024236077,0.189506024236077,0.174061323721052,0.201573013994624,296.068159757986,400,400,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.3,2,"recessive",0.5,0.397243300874102,-0.102756699125898,0.388899418566744,0.408185810745359,620.619283951994,400,400,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.3,2,"dominant",0.5,0.413250674889821,-0.086749325110179,0.40673499745026,0.419868386171165,645.627849175693,400,400,0
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.3,2,"additive",0,0.184909901314759,0.184909901314759,0.169557207916459,0.198495319323445,305.827831531675,400,400,1
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.3,2,"recessive",1,0.629423812661111,-0.370576187338889,0.603024013719045,0.659665484744737,1041.02224040926,400,400,1
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.3,2,"dominant",0,0.18566628602413,0.18566628602413,0.170013729364806,0.198531256037007,307.078838069593,400,400,1
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.3,2,"additive",0.5,0.432458837896585,-0.0675411621034146,0.422883703139998,0.442263288811874,642.807848902405,399,399,0
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.3,2,"recessive",0,0.138053940064024,0.138053940064024,0.123733118319376,0.149801712997074,205.203706037517,399,399,0
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.3,2,"dominant",0.5,0.42948722203939,-0.0705127779606096,0.41969463252481,0.440367374309733,638.390831999205,399,399,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.3,2,"additive",0.5,0.410573622080864,-0.0894263779191363,0.404086011665351,0.418026587529352,641.833133634721,400,400,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.3,2,"recessive",0.5,0.397495020373217,-0.102504979626783,0.389853057848882,0.40719499110968,621.387884680258,400,400,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.3,2,"dominant",0,0.191931357545919,0.191931357545919,0.177945847834548,0.203860734635507,300.038526664533,400,400,0
