"scenario","pve","K","coding","bin","n","sum_pip","n_true","sum_brier","mean_pip","observed_frequency","brier"
"Additive only",0.1,2,"dominant",1,928172,460.218087466994,0,3.82877521972651,0.00049583276318074,0,4.12507080554736e-06
"Dominant only",0.1,2,"dominant",1,927571,582.804268932683,526,507.24014655748,0.000628312300549158,0.000567072493641996,0.000546847784759851
"Recessive + Dominant",0.1,2,"dominant",1,930106,484.24964743629,269,259.168587192138,0.00052063920395771,0.000289214347611993,0.0002786441407669
"Recessive only",0.1,2,"dominant",1,928736,375.091931709659,0,0.84976514617364,0.000403873578400814,0,9.14969535124772e-07
"Additive + Dominant",0.2,2,"dominant",1,927952,397.737184664174,154,149.059775664503,0.000428618274074709,0.000165956859837578,0.00016063306686607
"Additive + Recessive",0.2,2,"dominant",1,930429,303.924978090797,0,1.58773679548526,0.000326650371055499,0,1.70645669415427e-06
"Additive only",0.2,2,"dominant",1,928205,318.840912407228,0,2.45693890071758,0.000343502687883848,0,2.64697873930606e-06
"Dominant only",0.2,2,"dominant",1,927069,502.661138267747,332,318.376006859613,0.000542204666823879,0.000358117896294666,0.000343422125925484
"Recessive + Dominant",0.2,2,"dominant",1,929807,401.769829551606,167,160.107246553231,0.000432100241826105,0.000179607165788169,0.000172194064524391
"Recessive only",0.2,2,"dominant",1,930496,295.815905317946,0,0.594085441876411,0.000317912065519836,0,6.38461037851222e-07
"Additive + Dominant",0.3,2,"dominant",1,927585,358.916390115568,119,114.249294964833,0.000386936388703534,0.000128290129745522,0.000123168545162797
"Additive + Recessive",0.3,2,"dominant",1,930463,285.39018066589,0,1.10309001188129,0.000306718462384738,0,1.18552807782931e-06
"Additive only",0.3,2,"dominant",1,928261,287.341104922113,0,1.49438941477708,0.000309547751033505,0,1.60988064216538e-06
"Dominant only",0.3,2,"dominant",1,926942,462.924601206098,253,243.239967491777,0.000499410536156629,0.000272940486028252,0.000262411205330837
"Recessive + Dominant",0.3,2,"dominant",1,929726,385.376727760424,132,126.196507222159,0.000414505701422166,0.0001419773137462,0.000135735159845115
"Recessive only",0.3,2,"dominant",1,929698,304.645001083984,0,0.571426487221874,0.000327681678441799,0,6.14636674728648e-07
"Additive + Dominant",0.4,2,"dominant",1,927540,337.329057232775,87,84.0658855685912,0.000363681412373348,9.37964939517433e-05,9.06331646814059e-05
"Additive + Recessive",0.4,2,"dominant",1,930469,272.931962583072,0,0.758024155499421,0.000293327303309483,0,8.14668898694552e-07
"Additive only",0.4,2,"dominant",1,928311,255.553241245304,0,0.94383498634358,0.00027528839068513,0,1.01672282924966e-06
"Dominant only",0.4,2,"dominant",1,926858,435.639574433507,199,191.761566989041,0.000470017601869441,0.000214703870495804,0.000206894224346168
"Recessive + Dominant",0.4,2,"dominant",1,929699,378.613794479516,105,101.054637259583,0.000407243413706496,0.000112939779433989,0.000108696080408371
"Recessive only",0.4,2,"dominant",1,928212,302.796391635597,0,0.529988647602493,0.000326214691940631,0,5.70978017524545e-07
"Additive + Dominant",0.1,3,"dominant",1,1859667,1563.73000130944,1024,1006.46826410019,0.000840865596533917,0.000550636216053734,0.000541208863791306
"Additive + Recessive",0.1,3,"dominant",1,1860786,1282.01069802416,0,5.53145989496008,0.000688961921480576,0,2.97264698625209e-06
"Additive + Recessive + Dominant",0.1,3,"dominant",1,930279,706.794919156259,360,354.129961456338,0.000759766606745137,0.000386980679989552,0.000380670703580687
"Additive only",0.1,3,"dominant",1,930302,713.509113146585,0,4.6859601830686,0.000766965042692142,0,5.03703118242097e-06
"Dominant only",0.1,3,"dominant",1,929900,800.412251435654,1018,994.159176271085,0.000860750888736051,0.00109474137003979,0.00106910331892793
"Recessive + Dominant",0.1,3,"dominant",1,1860508,1358.22582435086,1064,1042.3808741314,0.000730029553407379,0.000571886818008845,0.000560266805695757
"Recessive only",0.1,3,"dominant",1,928880,534.821637890355,0,1.25079469513417,0.000575770430938716,0,1.34656219870615e-06
"Additive + Dominant",0.2,3,"dominant",1,1859143,1014.94657659196,665,645.947627565296,0.000545921737376821,0.000357691689127733,0.00034744375637877
"Additive + Recessive",0.2,3,"dominant",1,1859313,713.777589272245,0,4.68358553933112,0.000383893184887238,0,2.51898714166529e-06
"Additive + Recessive + Dominant",0.2,3,"dominant",1,929901,449.787596035674,235,228.722101080365,0.000483694066395964,0.00025271507397024,0.000245963926353843
"Additive only",0.2,3,"dominant",1,930158,396.795836680344,0,4.47244418946065,0.000426589715597075,0,4.8082628859405e-06
"Dominant only",0.2,3,"dominant",1,928923,622.815226930403,663,636.324087329754,0.000670470240192571,0.000713729770928269,0.000685012737686281
"Recessive + Dominant",0.2,3,"dominant",1,1859410,965.630330540746,694,668.469755249082,0.000519320822487104,0.000373236671847522,0.000359506378501289
"Recessive only",0.2,3,"dominant",1,930490,293.054166042435,0,0.589769142712847,0.000314946067171528,0,6.33826416955419e-07
"Additive + Dominant",0.3,3,"dominant",1,1858798,846.166974658333,511,494.995013306161,0.000455222662526177,0.000274908838937851,0.000266298443029399
"Additive + Recessive",0.3,3,"dominant",1,1860795,586.987769775278,0,3.24691465883979,0.000315449993027323,0,1.74490723526223e-06
"Additive + Recessive + Dominant",0.3,3,"dominant",1,929762,396.351688839404,177,171.611428264527,0.000426293706173627,0.000190371299321762,0.000184575652978425
"Additive only",0.3,3,"dominant",1,929239,305.399586482031,0,2.71485365638368,0.000328655584281364,0,2.92158815588205e-06
"Dominant only",0.3,3,"dominant",1,928538,558.240176431903,507,486.367527890187,0.000601203371786511,0.000546019656707642,0.000523799271424742
"Recessive + Dominant",0.3,3,"dominant",1,1858898,915.610921567832,517,496.29408688723,0.000492555762375252,0.000278121768919005,0.000266982958122086
"Recessive only",0.3,3,"dominant",1,930491,299.365103572013,0,0.521374748366431,0.000321728102229912,0,5.60322182983426e-07
"Additive + Dominant",0.4,3,"dominant",1,1858734,771.415695917968,415,401.321361773064,0.000415022104248358,0.000223270247383434,0.000215911131863443
"Additive + Recessive",0.4,3,"dominant",1,1859097,572.349310754319,0,2.2582908734042,0.000307864146278714,0,1.21472460737885e-06
"Additive + Recessive + Dominant",0.4,3,"dominant",1,929707,383.586083199199,141,136.235682721689,0.00041258814142434,0.000151660684495223,0.000146536148186137
"Additive only",0.4,3,"dominant",1,930271,238.402046333687,0,1.74609541974752,0.000256271609384455,0,1.87697501023629e-06
"Dominant only",0.4,3,"dominant",1,928423,529.425883809267,410,393.58858106301,0.000570242102801489,0.000441609051046775,0.000423932389722152
"Recessive + Dominant",0.4,3,"dominant",1,1858763,882.03865304105,423,406.029152384264,0.000474529917499461,0.000227570701590251,0.000218440517905867
"Recessive only",0.4,3,"dominant",1,930504,303.729420403384,0,0.495260096764787,0.000326413879363639,0,5.32249293678251e-07
"Additive + Dominant",0.1,4,"dominant",1,2790612,2832.06570237944,2221,2188.61713070604,0.0010148546993919,0.000795882766934278,0.00078427854918779
"Additive + Recessive",0.1,4,"dominant",1,2791265,2416.18403751562,0,9.40323076453744,0.000865623306105161,0,3.36880617373751e-06
"Additive + Recessive + Dominant",0.1,4,"dominant",1,2790976,2591.18875089809,1493,1473.10578171202,0.000928416708312105,0.000534938315485336,0.000527810264836393
"Additive only",0.1,4,"dominant",1,930338,879.248998105379,0,5.19687622532425,0.000945085547516472,0,5.58600876812971e-06
"Dominant only",0.1,4,"dominant",1,930072,957.371190849198,1473,1447.9932370541,0.00102935169626566,0.00158374835496607,0.00155686144411841
"Recessive + Dominant",0.1,4,"dominant",1,2790306,2510.26303288587,2240,2202.61210942181,0.000899637184196239,0.000802779336746579,0.000789380128710547
"Recessive only",0.1,4,"dominant",1,930502,632.212590917831,0,1.4169331627401,0.000679431737833805,0,1.52276208190858e-06
"Additive + Dominant",0.2,4,"dominant",1,2788497,1843.03857933199,1624,1577.73803209732,0.000660943361004869,0.00058239259357281,0.000565802305721441
"Additive + Recessive",0.2,4,"dominant",1,2790924,1236.4645289558,0,10.061511238074,0.000443030526433468,0,3.60508248812007e-06
