"scope","pve","K","called_coding","bin","n_leads","sum_lead_pip","n_exact","mean_lead_pip","exact_accuracy"
"All simulations",0.4,4,"additive",10,840,824.885651221425,763,0.982006727644554,0.908333333333333
"Additive only",0.1,5,"additive",10,3,2.83680612843562,3,0.945602042811875,1
"All simulations",0.1,5,"additive",10,27,25.3146945570234,22,0.937581279889755,0.814814814814815
"Additive only",0.2,5,"additive",10,33,31.6909049947613,31,0.960330454386705,0.939393939393939
"All simulations",0.2,5,"additive",10,237,227.8238794175,205,0.961282191635022,0.864978902953586
"Additive only",0.3,5,"additive",10,105,101.779526380582,95,0.969328822672212,0.904761904761905
"All simulations",0.3,5,"additive",10,704,682.977103502513,607,0.970137931111524,0.862215909090909
"Additive only",0.4,5,"additive",10,166,162.91154149823,152,0.981394828302593,0.91566265060241
"All simulations",0.4,5,"additive",10,1163,1139.09628431273,1027,0.979446504138204,0.883061049011178
"All simulations",0.1,1,"dominant",10,45,43.3655275231815,44,0.963678389404034,0.977777777777778
"Additive only",0.2,1,"dominant",10,1,0.93518512043338,0,0.93518512043338,0
"All simulations",0.2,1,"dominant",10,83,81.7228414497491,81,0.984612547587339,0.975903614457831
"Additive only",0.3,1,"dominant",10,1,0.959061391483782,0,0.959061391483782,0
"All simulations",0.3,1,"dominant",10,123,120.948104858887,120,0.983317925682009,0.975609756097561
"Additive only",0.4,1,"dominant",10,1,0.967937329964464,0,0.967937329964464,0
"All simulations",0.4,1,"dominant",10,141,139.738605716471,138,0.991053941251567,0.978723404255319
"All simulations",0.1,2,"dominant",10,45,42.9353439421184,42,0.954118754269297,0.933333333333333
"All simulations",0.2,2,"dominant",10,171,166.88349374581,167,0.975926864010584,0.976608187134503
"All simulations",0.3,2,"dominant",10,286,279.68107897008,282,0.977905870524755,0.986013986013986
"All simulations",0.4,2,"dominant",10,377,370.996752445199,374,0.98407626643289,0.992042440318302
"Additive only",0.1,3,"dominant",10,2,1.86185393221256,0,0.930926966106278,0
"All simulations",0.1,3,"dominant",10,34,32.1158275821517,30,0.944583164180934,0.882352941176471
"Additive only",0.2,3,"dominant",10,2,1.91834172535419,0,0.959170862677096,0
"All simulations",0.2,3,"dominant",10,249,240.645378922234,231,0.966447304908571,0.927710843373494
"Additive only",0.3,3,"dominant",10,1,0.939007124470384,0,0.939007124470384,0
"All simulations",0.3,3,"dominant",10,450,440.925545909042,432,0.979834546464537,0.96
"Additive only",0.4,3,"dominant",10,1,0.945008994569965,0,0.945008994569965,0
"All simulations",0.4,3,"dominant",10,618,609.722563964644,603,0.986606090557676,0.975728155339806
"All simulations",0.1,4,"dominant",10,22,20.7125141622463,19,0.941477916465739,0.863636363636364
"Additive only",0.2,4,"dominant",10,2,1.91455386067807,0,0.957276930339036,0
"All simulations",0.2,4,"dominant",10,307,296.651559674629,292,0.966291725324524,0.95114006514658
"Additive only",0.3,4,"dominant",10,4,3.86647584028968,0,0.966618960072421,0
"All simulations",0.3,4,"dominant",10,607,594.618246408053,582,0.97960172390124,0.958813838550247
"Additive only",0.4,4,"dominant",10,5,4.7837504543073,0,0.95675009086146,0
"All simulations",0.4,4,"dominant",10,865,851.32045517928,836,0.984185497317087,0.966473988439306
"All simulations",0.1,5,"dominant",10,26,24.4555953940223,12,0.94059982284701,0.461538461538462
"Additive only",0.2,5,"dominant",10,2,1.83240663265463,0,0.916203316327316,0
"All simulations",0.2,5,"dominant",10,302,289.160442719052,272,0.957484909665736,0.900662251655629
"Additive only",0.3,5,"dominant",10,3,2.79579753090558,0,0.931932510301861,0
"All simulations",0.3,5,"dominant",10,812,791.873240950507,769,0.975213350924269,0.947044334975369
"Additive only",0.4,5,"dominant",10,2,1.91927482042656,0,0.959637410213279,0
"All simulations",0.4,5,"dominant",10,1242,1219.32978662087,1195,0.981747010161729,0.962157809983897
"All simulations",0.1,1,"recessive",10,67,66.0503973727692,65,0.985826826459242,0.970149253731343
"All simulations",0.2,1,"recessive",10,99,98.0454014830979,98,0.990357590738363,0.98989898989899
"All simulations",0.3,1,"recessive",10,123,121.973420414979,122,0.991653824512022,0.991869918699187
"All simulations",0.4,1,"recessive",10,141,140.040078128609,141,0.993192043465311,1
"All simulations",0.1,2,"recessive",10,117,114.567505667667,111,0.979209450151002,0.948717948717949
"All simulations",0.2,2,"recessive",10,291,287.661858349677,285,0.988528722851125,0.979381443298969
"Additive only",0.3,2,"recessive",10,1,0.979749027558214,0,0.979749027558214,0
"All simulations",0.3,2,"recessive",10,378,374.576200744899,372,0.990942330012959,0.984126984126984
"Additive only",0.4,2,"recessive",10,1,0.998891172103708,0,0.998891172103708,0
"All simulations",0.4,2,"recessive",10,425,422.370326463267,420,0.993812532854745,0.988235294117647
"All simulations",0.1,3,"recessive",10,118,114.333832489972,112,0.968930783813321,0.949152542372881
"All simulations",0.2,3,"recessive",10,520,512.101627926136,510,0.984810822934876,0.980769230769231
"All simulations",0.3,3,"recessive",10,747,741.181852177218,746,0.992211314828939,0.998661311914324
"All simulations",0.4,3,"recessive",10,866,859.922922873342,864,0.992982589923028,0.997690531177829
"All simulations",0.1,4,"recessive",10,68,65.6288338539407,60,0.965129909616775,0.882352941176471
"All simulations",0.2,4,"recessive",10,660,648.377954321386,641,0.982390839880888,0.971212121212121
"All simulations",0.3,4,"recessive",10,1178,1165.15481328774,1163,0.989095766797743,0.987266553480475
"All simulations",0.4,4,"recessive",10,1419,1410.20350719574,1413,0.993800921209116,0.995771670190275
"Additive only",0.1,5,"recessive",10,1,0.968555461284693,0,0.968555461284693,0
"All simulations",0.1,5,"recessive",10,98,95.0668555863043,85,0.970069954962289,0.86734693877551
"All simulations",0.2,5,"recessive",10,657,643.188721840637,635,0.978978267641761,0.966514459665145
"All simulations",0.3,5,"recessive",10,1545,1525.01806562711,1500,0.987066709143762,0.970873786407767
"All simulations",0.4,5,"recessive",10,2053,2035.85430869159,2018,0.991648469893612,0.982951777886021
