"scenario","pve","K","method","n_cs","covered_cs","purity_sum","recovered","n_causal","n_replicates","n_configurations","coverage","purity","power"
"Additive only",0.4,5,"SuSiE",1754,1560,1647.61553386931,1570,2000,400,1,0.88939566704675,0.939347510757873,0.785
"Additive only",0.4,5,"SuSiE-mix",1710,1531,1576.35046558239,1545,2000,400,1,0.895321637426901,0.921842377533559,0.7725
"Dominant only",0.1,1,"SuSiE",381,369,343.088270911861,369,400,400,1,0.968503937007874,0.900494149374963,0.9225
"Dominant only",0.1,1,"SuSiE-mix",391,383,351.843460986394,383,400,400,1,0.979539641943734,0.899855398942184,0.9575
"Dominant only",0.1,2,"SuSiE",420,390,348.944637664015,394,798,399,1,0.928571428571429,0.830820565866703,0.493734335839599
"Dominant only",0.1,2,"SuSiE-mix",503,476,415.755339497487,480,798,399,1,0.946322067594433,0.826551370770353,0.601503759398496
"Dominant only",0.1,3,"SuSiE",312,272,253.098567397022,283,1200,400,1,0.871794871794872,0.811213357041737,0.235833333333333
"Dominant only",0.1,3,"SuSiE-mix",342,317,273.451236060665,327,1200,400,1,0.926900584795322,0.799565017721242,0.2725
"Dominant only",0.1,4,"SuSiE",250,219,199.515732301787,232,1600,400,1,0.876,0.798062929207147,0.145
"Dominant only",0.1,4,"SuSiE-mix",272,245,213.195591647155,260,1600,400,1,0.900735294117647,0.783807322232188,0.1625
"Dominant only",0.1,5,"SuSiE",188,155,150.305366678012,175,2000,400,1,0.824468085106383,0.799496631266023,0.0875
"Dominant only",0.1,5,"SuSiE-mix",191,170,149.891948623858,192,2000,400,1,0.890052356020942,0.784774600124912,0.096
"Dominant only",0.2,1,"SuSiE",400,382,385.795570997564,382,400,400,1,0.955,0.964488927493911,0.955
"Dominant only",0.2,1,"SuSiE-mix",400,389,387.194786268922,389,400,400,1,0.9725,0.967986965672305,0.9725
"Dominant only",0.2,2,"SuSiE",767,718,702.246292228091,721,798,399,1,0.936114732724902,0.915575348406898,0.903508771929825
"Dominant only",0.2,2,"SuSiE-mix",780,754,712.451696528963,757,798,399,1,0.966666666666667,0.913399610934567,0.948621553884712
"Dominant only",0.2,3,"SuSiE",894,824,784.312126327408,834,1200,400,1,0.921700223713647,0.877306629001575,0.695
"Dominant only",0.2,3,"SuSiE-mix",982,937,854.951985074906,946,1200,400,1,0.954175152749491,0.870623202723937,0.788333333333333
"Dominant only",0.2,4,"SuSiE",868,784,740.835415187424,795,1600,400,1,0.903225806451613,0.853497022105328,0.496875
"Dominant only",0.2,4,"SuSiE-mix",994,936,838.823034723375,947,1600,400,1,0.941649899396378,0.843886352840418,0.591875
"Dominant only",0.2,5,"SuSiE",794,692,673.257464066491,715,2000,400,1,0.871536523929471,0.847931314945203,0.3575
"Dominant only",0.2,5,"SuSiE-mix",910,828,754.104463978508,862,2000,400,1,0.90989010989011,0.828686224152207,0.431
"Dominant only",0.3,1,"SuSiE",401,381,393.474427088359,381,400,400,1,0.950124688279302,0.981232985257753,0.9525
"Dominant only",0.3,1,"SuSiE-mix",400,385,394.200962169116,385,400,400,1,0.9625,0.985502405422789,0.9625
"Dominant only",0.3,2,"SuSiE",786,728,751.688899162668,731,798,399,1,0.926208651399491,0.956347199952503,0.916040100250627
"Dominant only",0.3,2,"SuSiE-mix",790,762,758.852806242954,764,798,399,1,0.964556962025316,0.960573172459435,0.957393483709273
"Dominant only",0.3,3,"SuSiE",1076,990,992.615727562168,997,1200,400,1,0.920074349442379,0.922505323013167,0.830833333333333
"Dominant only",0.3,3,"SuSiE-mix",1123,1085,1043.28973032514,1091,1200,400,1,0.966162065894924,0.929020240716958,0.909166666666667
"Dominant only",0.3,4,"SuSiE",1299,1199,1171.79797028957,1209,1600,400,1,0.923017705927637,0.9020769594223,0.755625
"Dominant only",0.3,4,"SuSiE-mix",1397,1334,1258.91390960222,1342,1600,400,1,0.954903364352183,0.901155268147616,0.83875
"Dominant only",0.3,5,"SuSiE",1361,1206,1204.54710493259,1226,2000,400,1,0.886113152094049,0.885045631838787,0.613
"Dominant only",0.3,5,"SuSiE-mix",1528,1411,1343.59597475742,1436,2000,400,1,0.923429319371728,0.879316737406686,0.718
"Dominant only",0.4,1,"SuSiE",403,377,398.096454957325,377,400,400,1,0.935483870967742,0.987832394435048,0.9425
"Dominant only",0.4,1,"SuSiE-mix",400,390,397.183799791211,390,400,400,1,0.975,0.992959499478027,0.975
"Dominant only",0.4,2,"SuSiE",796,733,772.531117271956,734,798,399,1,0.920854271356784,0.970516478984869,0.919799498746867
"Dominant only",0.4,2,"SuSiE-mix",798,769,780.024836564419,766,798,399,1,0.963659147869674,0.977474732536866,0.959899749373434
"Dominant only",0.4,3,"SuSiE",1136,1041,1082.13140912565,1049,1200,400,1,0.91637323943662,0.95258046577962,0.874166666666667
"Dominant only",0.4,3,"SuSiE-mix",1158,1123,1111.94863325349,1128,1200,400,1,0.969775474956822,0.960231980357075,0.94
"Dominant only",0.4,4,"SuSiE",1427,1315,1334.29686876849,1324,1600,400,1,0.921513665031535,0.935036348120879,0.8275
"Dominant only",0.4,4,"SuSiE-mix",1480,1419,1394.03445419951,1423,1600,400,1,0.958783783783784,0.941915171756423,0.889375
"Dominant only",0.4,5,"SuSiE",1667,1486,1530.05118713326,1502,2000,400,1,0.891421715656869,0.917847142851386,0.751
"Dominant only",0.4,5,"SuSiE-mix",1775,1654,1638.47123431683,1670,2000,400,1,0.931830985915493,0.923082385530611,0.835
"Recessive + dominant",0.1,2,"SuSiE",236,221,187.328239234075,225,800,400,1,0.936440677966102,0.793763725568114,0.28125
"Recessive + dominant",0.1,2,"SuSiE-mix",467,451,389.741843177549,453,800,400,1,0.965738758029979,0.83456497468426,0.56625
"Recessive + dominant",0.1,3,"SuSiE",328,268,261.38034934571,283,2400,800,2,0.817073170731707,0.796891308980824,0.117916666666667
"Recessive + dominant",0.1,3,"SuSiE-mix",647,596,530.533725547664,615,2400,800,2,0.921174652241113,0.819990302237503,0.25625
"Recessive + dominant",0.1,4,"SuSiE",422,365,336.662730672771,406,4800,1200,3,0.864928909952607,0.797778982636898,0.0845833333333333
"Recessive + dominant",0.1,4,"SuSiE-mix",770,712,617.413888178495,764,4800,1200,3,0.924675324675325,0.80183621841363,0.159166666666667
"Recessive + dominant",0.1,5,"SuSiE",460,377,350.407690268212,448,8000,1600,4,0.819565217391304,0.761755848409156,0.056
"Recessive + dominant",0.1,5,"SuSiE-mix",719,652,555.461924744411,737,8000,1600,4,0.906815020862309,0.77254787864313,0.092125
"Recessive + dominant",0.2,2,"SuSiE",598,563,521.500906511053,564,800,400,1,0.941471571906355,0.872075094500089,0.705
"Recessive + dominant",0.2,2,"SuSiE-mix",790,774,734.138072802827,773,800,400,1,0.979746835443038,0.929288699750414,0.96625
"Recessive + dominant",0.2,3,"SuSiE",1158,1016,975.730788867685,1028,2400,800,2,0.877374784110535,0.842599990386602,0.428333333333333
"Recessive + dominant",0.2,3,"SuSiE-mix",2005,1920,1776.65042022697,1935,2400,800,2,0.957605985037406,0.886109935275298,0.80625
"Recessive + dominant",0.2,4,"SuSiE",1615,1407,1352.89947802592,1452,4800,1200,3,0.871207430340557,0.837708655124411,0.3025
"Recessive + dominant",0.2,4,"SuSiE-mix",3098,2962,2675.23127940965,3000,4800,1200,3,0.956100710135571,0.863534951391107,0.625
"Recessive + dominant",0.2,5,"SuSiE",1841,1583,1501.07788930549,1686,8000,1600,4,0.859858772406301,0.815360070236552,0.21075
"Recessive + dominant",0.2,5,"SuSiE-mix",3448,3198,2882.44659461334,3324,8000,1600,4,0.927494199535963,0.835976390549113,0.4155
