"pve","called_coding","bin","n_leads","sum_lead_pip","n_exact","mean_pip","accuracy"
0.1,"additive",10,142,135.469929956917,119,0.954013591245895,0.838028169014085
0.2,"additive",10,874,845.653473559014,770,0.9675669033856,0.881006864988558
0.3,"additive",10,2007,1955.77664895208,1806,0.974477652691621,0.899850523168909
0.4,"additive",10,3040,2986.11328013499,2763,0.982274105307561,0.908881578947368
0.1,"dominant",10,172,163.58480860372,147,0.95107446862628,0.854651162790698
0.2,"dominant",10,1112,1075.06371651147,1043,0.966783917726146,0.93794964028777
0.3,"dominant",10,2278,2228.04621709657,2185,0.97807121031456,0.959174714661984
0.4,"dominant",10,3243,3191.10816392646,3146,0.983998817121943,0.97008942337342
0.1,"recessive",10,468,455.647424970653,433,0.973605608911652,0.925213675213675
0.2,"recessive",10,2227,2189.37556392093,2169,0.983105327310702,0.973955994611585
0.3,"recessive",10,3971,3927.90435225195,3903,0.989147406762012,0.982875849911861
0.4,"recessive",10,4904,4868.39114335254,4856,0.992738813897337,0.99021207177814
