"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.1,5,"recessive",0,0.248806244098491,0.248806244098491,0.244610163843318,0.252744372440282,788.380019556635,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.1,5,"dominant",0,0.349540225883847,0.349540225883847,0.345679754973927,0.353077638486657,1107.57079717442,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.2,5,"additive",1,0.530300265187655,-0.469699734812345,0.518438466047199,0.5439990757998,1355.61324177563,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.2,5,"recessive",0,0.161941331114987,0.161941331114987,0.15329704608127,0.170728928890053,413.972662775427,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.2,5,"dominant",0,0.307758403697358,0.307758403697358,0.299945068954023,0.314638956965118,786.726680538686,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.3,5,"additive",1,0.676976179950638,-0.323023820049362,0.659587906286444,0.697654153983724,1495.69985606425,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.3,5,"recessive",0,0.0837267168119221,0.0837267168119221,0.0726856949860807,0.093409274908997,184.984408599805,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.3,5,"dominant",0,0.23929710323744,0.23929710323744,0.226708182743847,0.249833938481974,528.699019949164,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.4,5,"additive",1,0.737607087836058,-0.262392912163942,0.720255267010307,0.756490525177425,1662.21622667797,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.4,5,"recessive",0,0.0664898837859663,0.0664898837859663,0.0564759763323971,0.0752946549221753,149.836634654913,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.4,5,"dominant",0,0.195903028377975,0.195903028377975,0.183779021956907,0.206875787238315,441.47242887883,400,400,0
