gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,coding_pattern,number_coding_types
ZNF669,Thyroid,ZNF669.rds,390,2895,8069,0,616,0,159.679487179487,145,1.40894873298701e-15,-1.02415220638795,0.00077092310448279,-521.431665886843,-521.432798999702,-552.739928256339,-552.739928256339,1,1,0,0,2,2,2,100,0,0,2,1,2,2,100,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-531.402205399783,-0.222416349414175,0.801735856973778,-521.431875862919,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,2,2,100,2,1,2,2,1,100,100,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,A,1
ZNF670,Adipose Tissue,ZNF670.rds,470,2851,8109,0,444,0,210.810638297872,193,9.33556455342845e-13,-0.627167821144326,0.000783439080578319,-642.21518618591,-642.29733481138,-666.254030580006,-666.254030580006,1,1,0,0,44,47,44,100,0,0,44,1,44,44,100,0,0,0,33,11,0,11,0,25,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-648.464578243446,-0.131276122226723,0.495891698917603,-642.230718129806,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,54,44,100,44,1,47,54,0.87037037037037,100,87.037037037037,1,47,TRUE,FALSE,FALSE,FALSE,FALSE,A,1
ZNF670,Nerve,ZNF670.rds,354,2851,7983,0,570,0,158.748587570622,149,1.29163293927526e-09,-1.02170825566395,0.000764665869610326,-484.575171329358,-484.616386714001,-501.658658586283,-501.658658586283,1,1,0,0,47,48,47,100,0,0,47,1,47,47,100,0,0,0,47,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-490.710703924268,-0.221442183347961,0.800266072315992,-484.581062026794,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,47,47,100,47,1,47,48,0.979166666666667,97.9166666666667,100,1,47,TRUE,FALSE,FALSE,TRUE,TRUE,A,1
ZNF670,Pituitary,ZNF670.rds,201,2851,7627,0,926,0,109.283582089552,106,5.84598923818666e-11,-0.745462906949342,0.000711623904408043,-252.047096873614,-252.11927269927,-284.564180354963,-284.564180354963,2,2,0,0,96,112,95,98.9583333333333,1,1.04166666666667,95,2,95,94,97.9166666666667,1,1.04166666666667,1.05263157894737,78,17,0,17,0,17.8947368421053,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-265.214033302664,-0.159695123168376,0.585767783780966,-252.074867495528,TRUE,2,0,0,0.8,0.15,0.05,0.8,0.15,0.05,104,96,100,96,2,102,114,0.894736842105263,91.0714285714286,98.0769230769231,2,102,TRUE,FALSE,FALSE,TRUE,FALSE,A,1
ZNF670,Thyroid,ZNF670.rds,390,2851,7927,0,626,0,137.574358974359,127,1.09336840642191e-10,-2.04002965103996,0.000756322207280391,-520.263818788095,-520.29101016218,-552.739928256339,-552.739928256339,2,2,0,0,59,59,59,100,0,0,59,2,59,59,100,0,0,0,59,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-534.486170920456,-0.444999544534994,1.59503010650496,-520.261493040158,TRUE,2,0,0,0.8,0.15,0.05,0.8,0.15,0.05,59,59,100,59,2,59,59,1,100,100,2,59,TRUE,TRUE,TRUE,TRUE,TRUE,A,1
ZNF676,Testis,ZNF676.rds,211,2968,8063,0,841,0,525.454976303318,476,5.95001335742506e-09,-0.968917051863116,0.000759151770921562,-283.487187543087,-283.591212502109,-298.753293732085,-298.753293732085,1,1,0,0,143,155,143,100,0,0,143,1,143,143,100,0,0,0,143,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-288.488754545083,-0.219549158368807,0.749367893494309,-283.498367386105,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,144,143,100,143,1,144,155,0.929032258064516,92.9032258064516,100,1,144,TRUE,FALSE,FALSE,TRUE,TRUE,A,1
ZNF676,Thyroid,ZNF676.rds,390,2968,8271,0,633,0,349.974358974359,322.5,6.34059224446304e-15,-1.62970234412273,0.000790142413507056,-516.061538928325,-516.729906237892,-552.739928256339,-552.739928256339,2,2,0,0,148,239,147,99.3243243243243,1,0.675675675675676,147,2,147,147,99.3243243243243,0,0,0,128,8,11,19,0,12.9251700680272,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-528.00691214259,-0.37226276919921,1.25743957492352,-516.20525713902,TRUE,2,0,0,0.8,0.15,0.05,0.8,0.15,0.05,156,147,99.3243243243243,147,2,155,240,0.645833333333333,64.8535564853557,99.3589743589744,2,155,TRUE,FALSE,FALSE,TRUE,TRUE,A,1
ZNF677,Thyroid,ZNF677.rds,390,4390,12240,0,930,0,330.546153846154,307,9.02516601095566e-09,-0.357550681267981,0.00116959623937873,-537.893681196097,-538.048973988093,-552.739928256339,-552.739928256339,1,1,0,0,12,15,12,100,0,0,12,1,12,12,100,0,0,0,6,6,0,6,0,50,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-546.094513738517,-0.0599922298900992,0.297558451377881,-537.940447087378,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,13,12,100,12,1,13,15,0.866666666666667,86.6666666666667,100,1,13,TRUE,FALSE,FALSE,TRUE,TRUE,A,1
ZNF682,Stomach,ZNF682.rds,189,2048,5491,0,653,0,247.137566137566,216,2.12433250223301e-11,0.637610188261334,0.000513018163701418,-245.909179931966,-244.222743971818,-267.537263374647,-267.537263374647,1,1,0,0,20,7,7,35,13,65,7,1,7,7,35,0,0,0,0,7,0,7,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-252.622568183176,0.314232304100159,-0.323377884161175,-245.010842364553,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,16,16,80,16,1,7,16,0.4375,100,43.75,1,7,TRUE,FALSE,FALSE,FALSE,FALSE,A,1
ZNF69,Testis,ZNF69.rds,211,1584,4106,0,646,0,543.772511848341,492,2.67341990848501e-12,-0.790987487722589,0.000375791353803834,-275.373552604285,-275.629936887135,-298.753293732085,-298.753293732085,1,1,0,0,23,25,23,100,0,0,23,1,23,23,100,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-281.981148891099,-0.191146867478892,0.599840620243697,-275.426173345792,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,29,23,100,23,1,25,29,0.862068965517241,100,86.2068965517242,1,25,TRUE,FALSE,FALSE,TRUE,TRUE,A,1
