tissue,total_weighted_cs,classified_weighted_cs,additive_cs,dominant_cs,recessive_cs,unclassified_cs,nonadditive_cs,additive_proportion,additive_ci_lower,additive_ci_upper,additive_odds_ratio,fisher_p_value,additive_percentage,additive_ci_lower_percentage,additive_ci_upper_percentage,overall_additive_percentage,additive_difference_percentage_points,fisher_fdr
Salivary Gland,150,150,143,6,1,0,7,0.953333333333333,0.906813527600873,0.977213450838738,0.937095259730232,0.839785217380416,95.3333333333333,90.6813527600873,97.7213450838738,95.6106870229008,-0.277353689567428,0.929113292574296
Liver,232,232,221,11,0,0,11,0.952586206896552,0.917107088407817,0.973321596396321,0.920967375539522,0.745663656047079,95.2586206896552,91.7107088407817,97.3321596396321,95.6106870229008,-0.352066333245593,0.924727001095903
Heart,363,363,345,17,1,0,18,0.950413223140496,0.922986352010188,0.968406897409399,0.876515151081886,0.601815876354291,95.0413223140496,92.2986352010188,96.8406897409399,95.6106870229008,-0.569364708851172,0.924727001095903
Small Intestine,121,121,115,3,3,0,6,0.950413223140496,0.896029061870703,0.977078325928677,0.87880386045057,0.656234835666429,95.0413223140496,89.6029061870703,97.7078325928677,95.6106870229008,-0.569364708851172,0.924727001095903
Lung,588,588,557,28,3,0,31,0.947278911564626,0.92613889125302,0.962612635292805,0.816730104417224,0.30166089370382,94.7278911564626,92.613889125302,96.2612635292806,95.6106870229008,-0.88279586643818,0.884878080534909
Adrenal Gland,264,264,250,10,4,0,14,0.946969696969697,0.912966783232896,0.968151476199785,0.816133573544492,0.446231943380398,94.6969696969697,91.2966783232896,96.8151476199785,95.6106870229008,-0.913717325931063,0.884878080534909
Pancreas,366,366,346,19,1,0,20,0.945355191256831,0.917108090215417,0.964350686849517,0.788382046179176,0.299514413635778,94.5355191256831,91.7108090215417,96.4350686849517,95.6106870229008,-1.0751678972177,0.884878080534909
Ovary,142,142,134,7,1,0,8,0.943661971830986,0.892772578821786,0.971179283830052,0.766482139290597,0.410048932880483,94.3661971830986,89.2772578821786,97.1179283830052,95.6106870229008,-1.24448983980218,0.884878080534909
Uterus,82,82,77,5,0,0,5,0.939024390243902,0.86507950499846,0.973676044932184,0.705204552156841,0.410682595932524,93.9024390243902,86.507950499846,97.3676044932184,95.6106870229008,-1.70824799851053,0.884878080534909
Kidney,32,32,30,2,0,0,2,0.9375,0.798528768558454,0.982689432968359,0.68790869186788,0.650404178204542,93.75,79.8528768558454,98.2689432968359,95.6106870229008,-1.86068702290076,0.924727001095903
Brain,162,162,151,11,0,0,11,0.932098765432099,0.882514533589284,0.961665208892157,0.625715356987571,0.17092718560968,93.2098765432099,88.2514533589284,96.1665208892157,95.6106870229008,-2.40081047969088,0.866876294979786
Blood,417,417,374,37,6,0,43,0.896882494004796,0.863979622519803,0.922539844757843,0.380818913223163,1.65909155259599e-07,89.6882494004796,86.3979622519803,92.2539844757843,95.6106870229008,-5.92243762242115,4.47954719200918e-06
