"iteration","source_iteration","source_fit","tissue","pi_add","pi_rec","pi_dom","pip_add","pip_rec","pip_dom","pip_total","n_fits","n_active_fits","n_nonconverged","prior_status","update_method","alpha_add","alpha_rec","alpha_dom","alpha_total","n_components","n_active_components","n_zero_variance_components","mstep_q_gain","source_elbo_sum","n_source_elbo","max_abs_prior_change","n_source_files","n_source_gene_errors","n_source_tissue_errors","created_at"
12,11,"weighted_fit_mix","Liver",0.890590678632766,0.00974176414672103,0.0996675572205127,1177.36069894921,12.8786121936589,131.760510498601,1321.99982164146,17486,1304,0,"estimated","susie_active_component_alpha_v2",1177.36087715252,12.8786122019652,131.760510645518,1322,174860,1322,173538,0.051940508912196,-3396863.26268579,17486,0.00276582802346514,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Lung",0.930764682521748,0.00184100730049573,0.0673943101777559,2487.91021675562,4.92100886664653,180.14482287111,2672.97604849338,17553,2498,0,"estimated","susie_active_component_alpha_v2",2487.93399638064,4.92101251422509,180.144991105142,2673,175530,2673,172857,0.175204965131798,-7898972.82809099,17553,0.00293013016945542,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Muscle",0.955330531815717,0.00162594558473393,0.0430435225995494,3464.96151165431,5.89730439823622,156.118800100524,3626.97761615307,17561,3298,0,"estimated","susie_active_component_alpha_v2",3464.98383889561,5.89730463582997,156.118856468566,3627.00000000001,175610,3627,171983,0.173813679026011,-11594785.9831522,17561,0.00203012452239171,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Nerve",0.963677116962512,0.00108205970194926,0.0352408233355386,4324.9197226591,4.85625743611411,158.16070861295,4487.93668870816,17566,4088,0,"estimated","susie_active_component_alpha_v2",4324.98290092775,4.85628394234828,158.160815129897,4488,175660,4488,171172,0.26275727319296,-8626959.10118077,17566,0.00203791427111411,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Ovary",0.88256736565681,0.0378919920341254,0.0795406423090646,908.161720508263,38.990859763474,81.8473201367369,1028.99990040847,17480,1023,0,"estimated","susie_active_component_alpha_v2",908.161819260857,38.990859803115,81.8473209360275,1029,174800,1029,173771,0.038343218288162,-2523346.44357184,17480,0.00237082828920809,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Pancreas",0.957183563381327,2.05786387660971e-05,0.0427958579799069,1881.81673823934,0.0404576037823894,84.1366429972159,1965.99383884034,17500,1891,0,"estimated","susie_active_component_alpha_v2",1881.82288560769,0.0404576038141468,84.1366567884969,1966,175000,1966,173034,0.28645032705856,-4377765.5102167,17500,0.00351633886603497,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Pituitary",0.942286143446123,0.000615726447484987,0.0570981301063923,2050.40405597849,1.33982072573388,124.245435923001,2175.98931262723,17536,2081,0,"estimated","susie_active_component_alpha_v2",2050.41464813876,1.33982074972733,124.24553111151,2176,175360,2176,173184,0.144170992346233,-4909216.41833633,17536,0.00271103362590175,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Prostate",0.916064871679439,0.0228919014948385,0.0610432268257223,1188.13137527031,29.6907912887667,79.1730221034374,1296.99518866252,17513,1270,0,"estimated","susie_active_component_alpha_v2",1188.13613856823,29.6907962388055,79.1730651929617,1297,175130,1297,173833,0.102066889016328,-3431530.05086694,17513,0.00304845072922848,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Salivary Gland",0.878902359163405,0.00151520309457911,0.119582437742016,892.961517093129,1.53944626881242,121.495678005979,1015.99664136792,17529,997,0,"estimated","susie_active_component_alpha_v2",892.96479691002,1.53944634409238,121.495756745889,1016,175290,1016,174274,0.0195035573273685,-2708944.19620954,17529,0.0020292252219587,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Skin",0.933012125240914,0.00202754062363396,0.0649603341354519,3174.08210517474,6.89769280378827,220.99490100283,3401.97469898136,17574,3143,0,"estimated","susie_active_component_alpha_v2",3174.10725006959,6.89769320160272,220.995056728807,3402,175740,3402,172338,0.253016688937805,-12770863.2368377,17574,0.00309202155177024,18468,855,0,"2026-09-21 23:35:46 UTC"
